iter	Passed	Remaining
159	197683	2273364
160	198927	2272217
161	200122	2270524
162	201386	2269611
163	202651	2268705
164	203856	2267130
165	205126	2266272
166	206366	2265088
167	207548	2263266
168	208810	2262315
169	210063	2261271
170	211256	2259578
171	212530	2258749
172	213790	2257776
173	215052	2256811
174	216323	2255948
175	217577	2254889
176	218794	2253460
177	220064	2252566
178	221337	2251708
179	222541	2250141
180	223813	2249265
181	225054	2248075
182	226255	2246481
183	227528	2245605
184	228782	2244539
185	229977	2242897
186	231229	2241810
187	232500	2240913
188	233724	2239546
189	234985	2238547
190	236253	2237603
191	237491	2236377
192	238751	2235356
193	240001	2234242
194	241210	2232745
195	242509	2232081
196	243781	2231159
197	245003	2229775
198	246286	2228958
199	247533	2227804
200	248772	2226571
201	250032	2225534
202	251266	2224262
203	252501	2223004
204	253741	2221782
205	254942	2220229
206	256169	2218899
207	257440	2217950
208	258683	2216760
209	259961	2215866
210	261239	2214964
211	262439	2213402
212	263720	2212525
213	264999	2211628
214	266234	2210367
215	267523	2209548
216	268780	2208459
217	269986	2206950
218	271223	2205706
219	272481	2204621
220	273773	2203818
221	274995	2202443
222	276250	2201329
223	277466	2199913
224	278708	2198703
225	279953	2197508
226	281176	2196151
227	282387	2194698
228	283655	2193688
229	284886	2192386
230	286110	2191035
231	287351	2189812
232	288611	2188740
233	289869	2187644
234	291127	2186551
235	292365	2185309
236	293599	2184035
237	294917	2183378
238	296159	2182159
239	297383	2180811
240	298639	2179697
241	299926	2178801
242	301166	2177569
243	302438	2176563
244	303658	2175187
245	304888	2173877
246	306150	2172803
247	307383	2171517
248	308598	2170102
249	309853	2168971
250	311075	2167611
251	312286	2166175
252	313547	2165085
253	314760	2163670
254	315999	2162425
255	317254	2161293
256	318476	2159942
257	319720	2158729
258	320965	2157534
259	322175	2156100
260	323429	2154959
261	324689	2153853
262	325889	2152358
263	327204	2151620
264	328478	2150605
265	329676	2149091
266	330984	2148301
267	332242	2147178
268	333500	2146058
269	334792	2145148
270	336051	2144034
271	337236	2142446
272	338550	2141670
273	339829	2140678
274	341034	2139214
275	342310	2138202
276	343598	2137254
277	344805	2135806
278	346075	2134752
279	347327	2133581
280	348540	2132175
281	349811	2131121
282	351047	2129855
283	352333	2128886
284	353633	2128006
285	354895	2126894
286	356093	2125393
287	357361	2124318
288	358647	2123345
289	359856	2121913
290	361129	2120860
291	362408	2119840
292	363596	2118290
293	364863	2117201
294	366121	2116060
295	367315	2114544
296	368584	2113464
297	369827	2112238
298	371035	2110805
299	372295	2109672
300	373577	2108663
301	374806	2107353
302	376078	2106285
303	377362	2105284
304	378589	2103962
305	379872	2102952
306	381126	2101781
307	382352	2100456
308	383609	2099298
309	384842	2098010
310	386074	2096721
311	387347	2095648
312	388598	2094460
313	389846	2093250
314	391122	2092196
315	392343	2090844
316	393580	2089579
317	394848	2088476
318	396081	2087190
319	397321	2085940
320	398577	2084772
321	399790	2083379
322	401015	2082054
323	402283	2080947
324	403524	2079700
325	404761	2078439
326	405957	2076960
327	407207	2075767
328	408444	2074503
329	409755	2073609
330	410988	2072326
331	412226	2071065
332	413526	2070117
333	414743	2068749
334	415958	2067374
335	417232	2066293
336	418474	2065051
337	419715	2063808
338	421006	2062809
339	422249	2061569
340	423488	2060315
341	424759	2059215
342	425989	2057915
343	427209	2056565
344	428492	2055523
345	429727	2054245
346	430946	2052897
347	432211	2051763
348	433447	2050492
349	434664	2049132
350	435947	2048082
351	437248	2047118
352	438473	2045794
353	439755	2044739
